;;;add;addi;addiw;addw;and;andi;auipc;beqz;bnez;div;divu;divuw;divw;j;lb;lbu;lh;lhu;li;lui;lw;mul;mulh;mulhsu;mulhu;mulw;mv;nop;or;ori;rem;remu;remuw;remw;sb;seqz;sh;sll;slli;slliw;sllw;slt;slti;sltiu;sltu;sra;srai;sraiw;sraw;srl;srli;srliw;srlw;stall;sub;subw;sw;xor;xori
1a_sw_300x300,instr,csv;sw;2082,278;0;237;21;0;0;0;0;0;237;0;0;0;0;0;0;0;0;0;6;21;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;427061;0;0;71390;0;0
1a_xor_300x300,instr,csv;xor;2506,492;0;300;5;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;90000;0
1a_xori_300x300,instr,csv;xori;2437,154;0;300;3;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;24;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;90000
1b_add_300x300,instr,csv;add;2414,522;90000;301;5;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;4;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0
1b_addi_300x300,instr,csv;addi;2548,874;0;90000;3;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;24;3;0;0;0;0;0;0;300;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1b_addiw_300x300,instr,csv;addiw;2506,418;0;300;90002;0;0;0;0;0;300;0;0;0;0;1;0;0;0;0;25;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1b_addw_300x300,instr,csv;addw;2374,819;0;300;5;90000;0;0;0;0;300;0;0;0;0;1;0;0;0;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1b_and_300x300,instr,csv;and;2541,305;0;301;9;0;90000;0;0;0;300;0;0;0;0;1;0;0;0;0;18;8;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0
1b_andi_300x300,instr,csv;andi;2259,862;0;300;4;0;0;90000;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0
1b_auipc_300x300,instr,csv;auipc;2960,164;0;300;7;0;0;0;90000;0;300;0;0;0;0;1;0;0;0;0;20;7;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0
