;;;add;addi;addiw;addw;and;andi;bnez;j;lb;lbu;lh;lhu;li;lui;lw;mul;mulh;mulhsu;mulhu;mulw;mv;nop;or;ori;seqz;sext,w;sll;slli;sllw;slt;slti;sltiu;sltu;sra;sraw;srl;srlw;stall;sub;subw;xor;xori
2a_ipc55_300x300,instr,csv;ipc55;2739,422;4680;6238;4679;4158;5717;5199;519;0;7792;6754;5199;6236;25;2;9877;10916;4157;7794;5197;5195;0;3;1039;8835;0;0;1039;0;3118;3636;3637;6238;5199;3640;1559;2597;5195;342010;4157;2598;2077;2078
2a_ipc56_300x300,instr,csv;ipc56;1690,068;1;1;5;1;2;0;0;0;3;0;2;2;23;3;0;2;3;2;0;2;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;498931;0;0;1;1
2a_ipc57_300x300,instr,csv;ipc57;1689,986;0;0;3;0;0;0;0;0;0;0;1;2;24;3;1;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498951;0;0;0;0
2a_ipc58_300x300,instr,csv;ipc58;1690,03;0;1;11;2;0;0;0;0;0;1;0;0;16;11;1;0;2;1;0;0;0;26;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;498916;0;0;0;0
2a_ipc59_300x300,instr,csv;ipc59;1690,03;0;1;8;0;1;2;0;0;1;0;1;0;20;7;1;0;1;1;1;1;0;30;1;0;0;0;0;0;1;0;1;2;2;0;0;0;0;498904;0;0;1;1
2a_ipc60_300x300,instr,csv;ipc60;1689,983;0;0;5;0;0;0;0;0;1;0;0;0;23;4;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;498953;0;0;0;0
2a_ipc61_300x300,instr,csv;ipc61;1690,098;0;3;13;0;1;4;0;0;0;3;0;0;17;10;1;4;2;0;0;2;0;27;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;498895;2;0;1;1
2a_ipc62_300x300,instr,csv;ipc62;1690,002;0;0;10;0;0;1;0;0;0;0;1;1;20;7;0;1;0;0;0;0;0;30;1;0;0;0;1;0;1;0;2;0;0;0;0;0;0;498912;0;0;1;0
2a_ipc63_300x300,instr,csv;ipc63;1690,018;0;1;9;0;0;0;0;0;1;0;0;1;19;8;0;1;0;0;1;0;0;29;0;0;0;0;0;0;0;0;0;1;1;0;2;1;0;498911;0;1;1;1
2a_ipc64_300x300,instr,csv;ipc64;1689,98;0;0;3;0;0;0;0;0;0;0;0;0;24;3;1;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498954;0;0;0;0
2a_ipc65_300x300,instr,csv;ipc65;1690,015;0;2;5;0;0;5;0;0;0;0;0;0;23;4;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;2;0;1;1;498931;1;3;0;3
2a_ipc66_300x300,instr,csv;ipc66;2749,204;1500;3600;3003;900;2400;4500;300;1;3600;2400;3300;2700;24;3;2400;3900;2700;3600;2700;3000;0;2;2400;3000;0;0;2700;0;2100;1800;5100;3600;1200;3000;1500;3600;3000;142637;1200;2400;1500;6000
2a_ipc67_300x300,instr,csv;ipc67;1689,989;1;0;3;0;0;1;0;0;1;1;0;0;25;2;0;0;0;0;2;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;498947;0;0;0;1
2a_ipc68_300x300,instr,csv;ipc68;2777,525;2100;3000;5406;1500;900;6900;300;1;2100;5100;2400;1800;21;6;1500;3600;3000;2700;4500;1200;0;31;3600;2700;0;0;2400;0;2400;1800;4800;3600;1200;3000;1800;3900;1200;143214;2100;2400;1500;4200
2a_ipc69_300x300,instr,csv;ipc69;1690,043;0;3;5;1;0;0;0;0;0;0;2;0;23;4;1;1;1;0;3;0;0;1;1;2;0;0;0;0;0;1;0;2;1;1;0;0;0;498936;0;0;0;0
2a_ipc70_300x300,instr,csv;ipc70;1689,992;0;0;3;0;0;0;0;0;0;0;1;0;24;3;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498953;0;0;0;1
2a_ipc71_300x300,instr,csv;ipc71;2793,329;2100;3900;6907;3300;2100;5700;300;1;3300;2700;1800;1200;20;7;3300;1500;1200;2700;3000;1500;0;30;3000;3900;0;0;2100;0;2400;2700;4800;5400;600;2100;1800;1800;3300;109075;1500;1500;2400;4800
2a_ipc72_300x300,instr,csv;ipc72;2637,408;3300;4500;5403;2100;1800;4800;300;1;2400;1800;2400;1800;24;3;2400;1500;3000;3300;2400;2700;0;2;2100;5700;0;0;3300;0;1800;1200;4500;3900;3300;4500;3300;2400;1800;115656;1200;2400;900;2400
2a_ipc73_300x300,instr,csv;ipc73;1689,983;0;0;6;0;1;0;0;0;1;0;0;0;21;6;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;498922;0;0;0;0
2a_ipc74_300x300,instr,csv;ipc74;2699,306;1500;4201;4808;3000;1500;3900;300;1;3600;1500;2100;2100;19;7;3300;1800;1800;1800;1200;2100;0;28;1800;5100;0;0;2100;1;2100;3600;6900;4200;2400;2700;3300;3300;2100;95219;2100;3000;1500;3900
2a_ipc75_300x300,instr,csv;ipc75;1690,056;1;3;6;1;1;2;0;0;2;0;1;0;22;4;0;0;2;0;1;1;0;31;0;0;0;0;0;1;0;1;1;2;0;2;0;1;4;498895;1;1;1;1
2a_ipc76_300x300,instr,csv;ipc76;2687,115;1200;5700;5406;3900;3300;2700;300;1;2100;2400;1200;1500;21;6;2400;1800;900;1500;2100;1800;0;31;5100;5400;0;0;2700;0;900;2100;5700;3300;2100;2700;2400;2400;4200;72478;1500;2700;2700;4500
2a_ipc77_300x300,instr,csv;ipc77;1690,562;1;7;8;5;4;3;0;0;1;0;3;0;23;4;1;2;0;2;4;0;0;1;2;3;0;0;0;0;1;3;3;3;1;2;0;2;1;498896;0;0;0;3
2a_ipc78_300x300,instr,csv;ipc78;1690,06;0;7;7;1;1;1;0;0;1;0;0;3;23;4;3;1;1;0;0;1;0;1;2;2;0;0;4;0;1;2;2;3;0;2;1;3;0;498907;0;0;2;3
2a_ipc79_300x300,instr,csv;ipc79;1689,992;0;0;6;0;0;1;0;0;0;0;0;1;21;6;0;0;0;0;1;0;0;31;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;498916;0;0;0;2
2a_ipc80_300x300,instr,csv;ipc80;2637,609;900;3600;7202;4200;2100;4800;300;1;1800;1200;600;1200;25;2;2700;2700;1200;1800;3300;300;0;3;2100;6000;0;0;900;0;4200;3600;6000;4800;3000;3000;2100;1200;1800;87458;1800;1500;2400;6300
2a_ipc81_300x300,instr,csv;ipc81;1690,315;2;10;12;2;7;10;0;0;1;7;2;4;22;5;2;3;4;5;1;4;0;0;4;8;0;0;4;0;6;5;9;7;4;9;2;4;4;498803;2;3;3;9
2a_ipc82_300x300,instr,csv;ipc82;1689,979;0;1;3;0;0;0;0;0;1;0;0;0;24;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;498950;0;1;1;2
2a_ipc83_300x300,instr,csv;ipc83;1690,01;1;1;7;0;0;1;0;0;0;0;1;0;20;7;0;1;0;0;0;0;0;30;1;1;0;0;1;0;0;0;3;0;3;1;1;2;0;498903;0;1;0;3
2a_ipc84_300x300,instr,csv;ipc84;1690,12;3;4;13;4;4;1;0;0;0;1;2;0;18;9;0;2;2;0;3;1;0;28;1;1;0;0;2;0;1;2;3;7;2;2;2;1;4;498857;1;1;1;6
2a_ipc85_300x300,instr,csv;ipc85;2711,464;1800;4500;6004;2700;2700;4500;300;1;1500;1500;600;1500;23;4;900;1500;600;2100;2100;900;0;1;4200;4500;0;0;3300;0;3600;4200;8100;5100;3000;1500;2700;1500;2700;59866;1200;1500;2700;5100
2a_ipc86_300x300,instr,csv;ipc86;2685,028;3600;7801;5407;1800;1200;5100;300;1;900;2100;1200;1500;20;6;900;1500;1200;1800;1800;1200;0;29;2100;4800;0;0;4200;1;1800;2100;5700;4800;2700;1200;3600;2100;1800;67034;3900;2700;2700;5100
2a_ipc87_300x300,instr,csv;ipc87;1690,302;6;7;11;7;2;10;0;0;1;2;2;1;23;4;2;1;4;4;3;1;0;1;9;12;0;1;5;0;11;12;18;12;6;8;6;4;4;498759;4;6;4;16
2a_ipc88_300x300,instr,csv;ipc88;2770,891;3900;4800;9004;2100;1800;7800;300;1;0;300;900;900;23;4;300;1800;600;0;300;900;0;1;2100;6000;0;0;3300;0;3000;2700;4200;7500;2700;3300;3300;2400;2400;26881;3900;2400;600;5100
2a_ipc89_300x300,instr,csv;ipc89;1689,981;1;0;3;2;0;0;0;0;0;0;1;0;24;3;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;498947;0;2;0;0
