Full Name;Name;Power;stall;add;addi;addiw;addw;and;andi;auipc;bnez;div;divu;divuw;divw;j;lb;lbu;lh;lhu;li;lui;lw;mul;mulh;mulhsu;mulhu;mulw;mv;nop;or;ori;rem;remu;remuw;remw;sb;seqz;sh;sll;slli;slliw;sllw;slt;slti;sltiu;sltu;sra;srai;sraiw;sraw;srl;srli;srliw;srlw;sub;subw;sw;xor;xori
1b_mulh_300x300;mulh_300x300;5366,431;229038;0;69;5;0;0;0;0;69;0;0;0;0;0;0;0;0;0;22;5;0;0;20755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_mulhsu_300x300;mulhsu_300x300;5389,003;228727;0;70;6;0;0;0;0;70;0;0;0;0;0;0;0;0;0;21;6;0;0;0;21032;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_mulhu_300x300;mulhu_300x300;5466,105;228801;0;69;7;0;0;0;0;69;0;0;0;0;0;0;0;0;0;20;7;0;0;0;0;20960;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_mulw_300x300;mulw_300x300;5404,138;207898;0;139;1;0;0;0;0;139;0;0;0;0;0;0;0;0;0;26;1;0;0;0;0;0;41755;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_mv_300x300;mv_300x300;4873,495;231;0;300;6;0;0;0;0;300;0;0;0;0;1;0;0;0;0;21;6;0;0;0;0;0;0;90000;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_nop_300x300;nop_300x300;4728,239;215;0;300;3;0;0;0;0;300;0;0;0;0;1;0;0;0;0;24;3;0;0;0;0;0;0;0;90002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_or_300x300;or_300x300;5199,166;231;0;300;6;0;0;0;0;300;0;0;0;0;1;0;0;0;0;21;6;0;0;0;0;0;0;0;31;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_ori_300x300;ori_300x300;5085,938;215;0;300;2;0;0;0;0;300;0;0;0;0;1;0;0;0;0;25;2;0;0;0;0;0;0;0;3;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_rem_300x300;rem_300x300;5217,679;226300;0;78;1;0;0;0;0;78;0;0;0;0;0;0;0;0;0;23;4;0;0;0;0;0;0;0;4;0;0;23475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_remu_300x300;remu_300x300;4681,464;227784;0;73;2;0;0;0;0;73;0;0;0;0;0;0;0;0;0;19;7;0;0;0;0;0;0;0;3;0;0;0;22001;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_remuw_300x300;remuw_300x300;5196,075;220760;0;96;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;25;2;0;0;0;0;0;0;0;5;0;0;0;0;28979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_remw_300x300;remw_300x300;4681,46;225491;0;80;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;24;3;0;0;0;0;0;0;0;5;0;0;0;0;0;24280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_sb_300x300;sb_300x300;4957,977;213914;0;119;18;0;0;0;0;119;0;0;0;0;0;0;0;0;0;9;18;0;0;0;0;0;0;0;19;0;0;0;0;0;0;35747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_sh_300x300;sh_300x300;4953,805;213914;0;119;16;0;0;0;0;119;0;0;0;0;0;0;0;0;0;11;16;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;35747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_sll_300x300;sll_300x300;5329,64;231;0;301;7;0;0;0;0;300;0;0;0;0;1;0;0;0;0;20;6;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;90000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_slli_300x300;slli_300x300;5213,535;231;0;300;9;0;0;0;0;300;0;0;0;0;1;0;0;0;0;18;9;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b_slliw_300x300;slliw_300x300;5267,81;215;0;300;4;0;0;0;0;300;0;0;0;0;1;0;0;0;0;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
