,,add,addi,addiw,addw,and,andi,auipc,beq,beqz,bge,bgeu,bgez,blt,bltu,bltz,bne,bnez,csrc,csrr,csrs,csrw,div,divu,divuw,divw,j,jal,jr,lb,lbu,ld,lh,lhu,li,lui,lw,lwu,mul,mulh,mulhsu,mulhu,mulw,mv,nop,or,ori,rem,remu,remuw,remw,ret,sb,sd,seqz,sext.w,sh,sll,slli,slliw,sllw,slt,slti,sltiu,sltu,sra,srai,sraiw,sraw,srl,srli,srliw,srlw,stall,sub,subw,sw,xor,xori
1a_xor_300x300.instr.csv,9031.557,0,300,5,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,90000,0
1a_xori_300x300.instr.csv,9031.052,0,300,3,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,90000
1b_add_300x300.instr.csv,9031.221,90000,301,5,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
1b_addi_300x300.instr.csv,9031.422,0,90000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1b_addiw_300x300.instr.csv,9031.304,0,300,90002,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1b_addw_300x300.instr.csv,9031.054,0,300,5,90000,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1b_and_300x300.instr.csv,9032.067,0,301,9,0,90000,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,8,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
1b_andi_300x300.instr.csv,9030.143,0,300,4,0,0,90000,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1b_auipc_300x300.instr.csv,9032.858,0,300,7,0,0,0,90000,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
1b_div_300x300.instr.csv,9055.792,0,146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,43970,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454695,0,0,0,0,0
